Date,Cyano,Green.Algae,Diatoms,Total.Conc,Reflection,Mesocosm.No,Pred.Treatment,Heat.Treatment,Treatment,Rep,Period
23/07/2019,0.41,0,2.99,3.4,4,22,Absent,Current,4,4,Initial
23/07/2019,0.52,0.07,2.07,2.66,14,23,Present,Current,3,3,Initial
23/07/2019,0.32,0,3.27,3.59,2,24,Present,Current,3,4,Initial
23/07/2019,0.41,0,2.48,2.89,4,25,Absent,Current,4,5,Initial
23/07/2019,0.16,0.41,0.53,1.1,21,26,Absent,Current,4,6,Initial
23/07/2019,0.5,0,2.99,3.49,2,27,Present,Current,3,5,Initial
23/07/2019,0.29,0,2.54,2.83,13,28,Present,Current,3,6,Initial
23/07/2019,0.18,0,4.39,4.57,0,29,Absent,Current,4,7,Initial
23/07/2019,0.39,0,1.85,2.24,7,30,Absent,Current,4,8,Initial
23/07/2019,0.31,0,1.82,2.13,12,31,Present,Current,3,7,Initial
23/07/2019,0.53,0,2.3,2.83,10,32,Present,Current,3,8,Initial
23/07/2019,0.4,0,2.7,3.1,3,33,Absent,Ambient,6,1,Ambient
23/07/2019,0.46,0,2.45,2.91,6,34,Absent,Ambient,6,2,Ambient
23/07/2019,0.49,0,2.46,2.95,11,35,Present,Ambient,5,1,Ambient
23/07/2019,0.3,0,1.8,2.1,11,36,Present,Ambient,5,2,Ambient
23/07/2019,0.32,0,1.52,1.84,3,37,Absent,Ambient,6,3,Ambient
23/07/2019,0.28,0,1.38,1.66,9,38,Absent,Ambient,6,4,Ambient
23/07/2019,0.3,0.14,1.32,1.76,14,39,Present,Ambient,5,3,Ambient
23/07/2019,0.33,0,1.57,1.9,8,40,Present,Ambient,5,4,Ambient
23/07/2019,0.24,0,1.22,1.46,8,41,Absent,Ambient,6,5,Ambient
23/07/2019,0.41,0,2.09,2.5,14,42,Absent,Ambient,6,6,Ambient
23/07/2019,0.45,0,2.27,2.72,6,43,Present,Ambient,5,5,Ambient
23/07/2019,0.42,0,2.48,2.9,7,44,Present,Ambient,5,6,Ambient
23/07/2019,0.23,0,1.67,1.9,2,45,Absent,Ambient,6,7,Ambient
23/07/2019,0.52,0,2.1,2.62,7,46,Absent,Ambient,6,8,Ambient
23/07/2019,0.27,0,3.69,3.96,1,47,Present,Ambient,5,7,Ambient
23/07/2019,0.22,0,2,2.22,8,48,Present,Ambient,5,8,Ambient
23/07/2019,0.45,0,1.96,2.41,7,9,Absent,Future,2,5.1,Initial
23/07/2019,0.64,0,2.1,2.74,6,9,Absent,Future,2,5.2,Initial
23/07/2019,0.32,0,1.38,1.7,14,10,Absent,Future,2,6.1,Initial
23/07/2019,0.35,0,1.6,1.95,15,10,Absent,Future,2,6.2,Initial
23/07/2019,0.38,0.01,1.65,2.04,14,11,Present,Future,1,5.1,Initial
23/07/2019,0.24,0.08,1.3,1.62,18,11,Present,Future,1,5.2,Initial
23/07/2019,0.47,0,1.66,2.13,11,12,Present,Future,1,6.1,Initial
23/07/2019,0.53,0,2.55,3.08,9,12,Present,Future,1,6.2,Initial
23/07/2019,0.47,0,2.59,3.06,6,13,Absent,Future,2,7.1,Initial
23/07/2019,0.33,0,1.66,1.99,16,13,Absent,Future,2,7.2,Initial
23/07/2019,0.32,0.08,1.07,1.47,12,14,Absent,Future,2,8.1,Initial
23/07/2019,0.2,0,1.19,1.39,6,14,Absent,Future,2,8.2,Initial
23/07/2019,0.53,0,2.48,3.01,10,15,Present,Future,1,7.1,Initial
23/07/2019,0.19,0.12,0.7,1.01,18,15,Present,Future,1,7.2,Initial
23/07/2019,0.27,0,1.91,2.18,7,16,Present,Future,1,8.1,Initial
23/07/2019,0.42,0,1.87,2.29,6,16,Present,Future,1,8.2,Initial
23/07/2019,0.4,0,1.72,2.12,8,25,Absent,Current,4,5.1,Initial
23/07/2019,0.4,0,2.09,2.49,15,25,Absent,Current,4,5.2,Initial
23/07/2019,0.19,0.59,0.48,1.26,19,26,Absent,Current,4,6.1,Initial
23/07/2019,0.58,0.1,2.19,2.87,12,26,Absent,Current,4,6.2,Initial
23/07/2019,0.29,0,1.79,2.08,6,27,Present,Current,3,5.1,Initial
23/07/2019,0.33,0,1.95,2.28,16,27,Present,Current,3,5.2,Initial
23/07/2019,0.26,0.17,1.93,2.36,17,28,Present,Current,3,6.1,Initial
23/07/2019,0.22,0.1,1.39,1.71,17,28,Present,Current,3,6.2,Initial
23/07/2019,0.57,0,3.72,4.29,2,29,Absent,Current,4,7.1,Initial
